Date,Open,High,Low,Close,Volume,Change
2014-11-18,40600.0,40560,40110,40490,1175,0.0425233679430882
2014-11-19,40500.0,40720,40360,40520,3879,0.0027069096543877
2014-11-20,40730.0,40680,40400,40540,6470,0.0014307947237091
2014-11-21,40640.0,40775,40440,40565,4329,0.0028556739735284
2014-11-24,40575.0,40820,40385,40480,5395,-0.0077214602953191
2014-11-25,40635.0,40680,40510,40645,3046,0.0161710396231007
2014-11-26,40670.0,40715,40600,40680,1068,0.0032511498204572
2014-11-27,40440.0,40725,40420,40460,830,-0.0206702097623556
2014-11-28,40295.0,40540,40340,40440,712,-0.0019901625131654
2014-12-01,40215.0,40335,39985,40100,2176,-0.0333771131865775
2014-12-02,40165.0,40230,40025,40065,440,-0.0032582959231334
2014-12-03,40425.0,40275,40115,40225,1241,0.0158921044403609
2014-12-04,40315.0,40430,40170,40210,1792,-0.0011797921313104
2014-12-05,40350.0,40350,40265,40325,717,0.011441387787016
2014-12-08,40230.0,40395,40220,40260,764,-0.0066831310168192
2014-12-09,40015.0,40345,40070,40180,740,-0.0076025261885351
2014-12-10,39690.0,40150,39685,39830,4302,-0.0346102088723909
2014-12-11,39465.0,39760,39460,39535,2529,-0.0302362436753343
2014-12-12,39495.0,39630,39380,39555,205,0.0021748337893891
2014-12-15,39895.0,39665,39395,39575,6229,0.0017886715443813
2014-12-16,39695.0,39900,39600,39605,350,0.0037005957615822
2014-12-17,39650.0,39815,39585,39785,642,0.0181176765482928
2014-12-18,39820.0,39790,39330,39575,355,-0.0221470239569072
2014-12-19,39825.0,39925,39610,39765,1559,0.0207482052912899
2014-12-22,39870.0,39905,39745,39810,1099,0.0054978354517972
2014-12-23,40045.0,39975,39750,39870,233,0.0061064060026563
2014-12-24,40070.0,40110,39940,40025,117,0.0157824819616537
2014-12-26,39830.0,40125,39965,40035,3841,0.0012031327494092
2014-12-29,39825.0,39960,39705,39785,254,-0.0251677609726725
2014-12-30,39590.0,39930,39515,39670,1422,-0.0122601009530595
2015-01-02,39845.0,39925,39590,39890,660,0.021739124082067
2015-01-05,39740.0,39960,39660,39780,378,-0.0117645141677305
2015-01-06,39460.0,39795,39470,39510,886,-0.0274718389321247
2015-01-07,39515.0,39520,39430,39485,1923,-0.0017766115823763
2015-01-08,39875.0,39790,39455,39730,504,0.0264766430323076
2015-01-09,40025.0,40355,39775,40255,504,0.0542774632896662
2015-01-12,39935.0,40170,39900,40060,519,-0.0188792145198813
2015-01-13,39805.0,39970,39745,39865,378,-0.0189701110510965
2015-01-14,39805.0,39920,39625,39740,721,-0.0124386539604173
2015-01-15,39855.0,39975,39745,39955,322,0.0213280054742452
2015-01-16,40065.0,39930,39740,39740,339,-0.0213346694740941
2015-01-19,39920.0,40070,39870,39880,83,0.0145105203002557
2015-01-20,40160.0,40190,39855,40090,170,0.0209793331481169
2015-01-21,40035.0,40230,39835,39875,1158,-0.0208079371061034
2015-01-22,40200.0,40080,39885,39945,661,0.0069182924455983
2015-01-23,40200.0,40225,39975,40000,409,0.0056120835268865
2015-01-26,40230.0,40200,40130,40145,2215,0.0140796408689923
2015-01-27,40385.0,40360,40200,40330,4173,0.0179691141099026
2015-01-28,40650.0,40505,40370,40490,5030,0.0156023781993158
2015-01-29,40770.0,40790,40610,40775,156,0.0281986731583663
2015-01-30,40725.0,40770,40710,40710,29,-0.0068288858087957
2015-02-02,40570.0,40745,40595,40640,2124,-0.0065667969483628
2015-02-03,40755.0,40620,40570,40600,17,-0.0039528149649593
2015-02-04,40805.0,40820,40705,40785,2402,0.0187652967683548
2015-02-05,40940.0,40880,40775,40850,1313,0.006385811234159
2015-02-06,40825.0,40960,40845,40875,414,0.0026474383793439
2015-02-09,40570.0,40840,40680,40700,180,-0.0174414733820778
2015-02-10,40785.0,40585,40520,40535,221,-0.0156101399540037
2015-02-11,40840.0,40935,40760,40910,246,0.0370997532462685
2015-02-12,41060.0,41035,40750,40935,4468,0.0026897710854989
